Attendance_ID,Employee_ID,Date,Status
85,1239,2025-09-10,Absent
86,1484,2025-08-15,Leave
87,1501,2025-08-14,Absent
88,1402,2025-09-22,Present
89,1016,2025-08-01,Present
90,1621,2025-09-10,Absent
91,1545,2025-09-11,Present
92,1951,2025-07-28,Absent
93,1738,2025-08-19,Absent
94,1599,2025-09-16,Leave
95,1032,2025-08-31,Absent
96,1150,2025-08-07,Present
97,1151,2025-08-27,Leave
98,1007,2025-08-08,Absent
99,1173,2025-09-08,Leave
100,1355,2025-09-22,Present
101,1769,2025-08-15,Present
102,1382,2025-08-27,Present
103,1209,2025-09-22,Absent
104,1001,2025-08-25,Leave
105,1318,2025-09-03,Absent
106,1964,2025-08-05,Absent
107,1601,2025-08-21,Present
108,1812,2025-08-08,Present
109,1864,2025-08-29,Absent
110,1452,2025-08-18,Leave
111,1617,2025-08-25,Present
112,1015,2025-09-10,Leave
113,1798,2025-08-04,Leave
114,1367,2025-09-02,Leave
115,1707,2025-08-18,Present
116,1326,2025-08-02,Present
117,1254,2025-09-04,Leave
118,1358,2025-07-31,Absent
119,1949,2025-09-04,Absent
120,1716,2025-08-09,Leave
121,1988,2025-08-16,Present
122,1624,2025-08-08,Present
123,1332,2025-07-26,Leave
124,1517,2025-09-13,Absent
125,1796,2025-08-01,Absent
126,1857,2025-08-22,Absent
127,1465,2025-08-27,Leave
128,1402,2025-08-22,Present
129,1429,2025-09-06,Absent
130,1881,2025-08-13,Present
131,1335,2025-09-14,Absent
132,1510,2025-09-02,Absent
133,1351,2025-09-06,Leave
134,1322,2025-08-07,Leave
135,1096,2025-08-29,Leave
136,1362,2025-09-16,Present
137,1664,2025-09-20,Leave
138,1955,2025-08-05,Present
139,1655,2025-08-05,Present
140,1801,2025-09-16,Absent
141,1070,2025-08-30,Leave
142,1805,2025-09-21,Present
143,1557,2025-09-06,Absent
144,1561,2025-08-15,Present
145,1524,2025-08-18,Present
146,1897,2025-08-07,Present
147,1605,2025-08-21,Present
148,1578,2025-08-20,Present
149,1369,2025-08-15,Present
150,1780,2025-09-11,Present
151,1167,2025-09-16,Absent
152,1747,2025-08-23,Absent
153,1359,2025-08-21,Leave
154,1399,2025-07-31,Leave
155,1123,2025-08-21,Absent
156,1467,2025-07-30,Leave
157,1725,2025-09-18,Absent
158,1350,2025-09-02,Absent
159,1894,2025-08-09,Leave
160,1785,2025-09-11,Absent
161,1225,2025-09-18,Leave
162,1624,2025-08-10,Absent
163,1868,2025-09-08,Absent
164,1510,2025-08-04,Leave
165,1447,2025-08-28,Leave
166,1635,2025-08-10,Present
167,1577,2025-08-22,Absent
168,1790,2025-09-05,Present
169,1317,2025-08-15,Absent
170,1794,2025-07-29,Absent
171,1438,2025-08-22,Absent
172,1563,2025-07-30,Present
173,1441,2025-09-21,Absent
174,1926,2025-08-16,Present
175,1792,2025-08-12,Absent
176,1140,2025-08-16,Leave
177,1340,2025-07-29,Absent
178,1992,2025-08-19,Absent
179,1211,2025-09-08,Present
180,1318,2025-09-12,Leave
181,1156,2025-08-09,Leave
182,1734,2025-08-08,Absent
183,1825,2025-08-14,Absent
184,1426,2025-08-16,Present
185,1359,2025-08-13,Leave
186,1390,2025-08-06,Absent
187,1538,2025-09-19,Absent
188,1236,2025-09-11,Absent
189,1554,2025-08-13,Absent
190,1118,2025-08-08,Present
191,1500,2025-08-30,Leave
192,1652,2025-09-09,Present
193,1052,2025-08-04,Present
194,1317,2025-08-03,Absent
195,1804,2025-08-11,Absent
196,1272,2025-09-09,Present
197,1830,2025-08-14,Leave
198,1164,2025-09-16,Absent
199,1397,2025-08-24,Present
200,1829,2025-08-18,Absent
201,1160,2025-08-18,Present
202,1539,2025-09-07,Present
203,1477,2025-08-29,Leave
204,1036,2025-08-27,Present
205,1792,2025-09-20,Present
206,1793,2025-08-25,Leave
207,1818,2025-08-31,Absent
208,1178,2025-08-27,Absent
209,1861,2025-08-07,Leave
210,1791,2025-08-24,Present
211,1104,2025-09-10,Leave
212,1615,2025-07-25,Absent
213,1773,2025-09-11,Absent
214,1289,2025-09-01,Leave
215,1563,2025-09-01,Leave
216,1284,2025-09-14,Present
217,1014,2025-08-27,Absent
218,1417,2025-09-23,Leave
219,1685,2025-09-13,Absent
220,1333,2025-08-29,Leave
221,1713,2025-09-16,Absent
222,1559,2025-08-01,Present
223,1568,2025-09-08,Leave
224,1484,2025-09-12,Leave
225,1691,2025-08-24,Present
226,1344,2025-08-12,Present
227,1146,2025-09-05,Leave
228,1261,2025-08-25,Leave
229,1960,2025-08-09,Present
230,1632,2025-08-22,Leave
231,1485,2025-07-31,Leave
232,1243,2025-08-17,Absent
233,1191,2025-07-31,Leave
234,1092,2025-08-18,Absent
235,1105,2025-08-18,Leave
236,1418,2025-08-11,Present
237,1779,2025-09-16,Leave
238,1453,2025-08-12,Leave
239,1868,2025-09-21,Leave
240,1743,2025-09-08,Absent
241,1602,2025-08-31,Leave
242,1931,2025-07-26,Leave
243,1614,2025-08-12,Leave
244,1479,2025-09-15,Absent
245,1929,2025-09-20,Present
246,1439,2025-09-10,Present
247,1706,2025-09-21,Absent
248,1387,2025-09-09,Present
249,1948,2025-09-01,Present
250,1319,2025-09-19,Absent
251,1798,2025-08-02,Leave
252,1104,2025-09-12,Present
253,1632,2025-08-04,Absent
254,1287,2025-07-29,Absent
255,1986,2025-08-22,Absent
256,1286,2025-09-22,Present
257,1569,2025-07-28,Leave
258,1499,2025-09-01,Present
259,1686,2025-08-06,Present
260,1906,2025-08-18,Leave
261,1068,2025-08-17,Absent
262,1374,2025-08-28,Absent
263,1285,2025-07-29,Leave
264,1129,2025-09-22,Leave
265,1311,2025-09-15,Leave
266,1485,2025-09-12,Leave
267,1825,2025-09-02,Leave
268,1968,2025-07-28,Present
269,1023,2025-09-15,Absent
270,1690,2025-08-29,Present
271,1147,2025-09-10,Present
272,1494,2025-08-24,Present
273,1650,2025-08-28,Absent
274,1958,2025-08-21,Present
275,1313,2025-08-13,Absent
276,1276,2025-08-30,Leave
277,1812,2025-07-25,Absent
278,1423,2025-09-14,Absent
279,1396,2025-08-07,Absent
280,1494,2025-07-25,Absent
281,1693,2025-08-20,Present
282,1818,2025-08-15,Absent
283,1790,2025-09-10,Absent
284,1810,2025-08-31,Present
285,1303,2025-09-10,Present
286,1594,2025-09-18,Present
287,1623,2025-08-20,Leave
288,1943,2025-08-22,Leave
289,1354,2025-08-28,Leave
290,1587,2025-08-21,Leave
291,1554,2025-08-02,Leave
292,1395,2025-08-20,Leave
293,1701,2025-09-11,Present
294,1367,2025-09-14,Present
295,1653,2025-09-05,Absent
296,1741,2025-09-13,Absent
297,1090,2025-08-14,Present
298,1369,2025-09-05,Absent
299,1267,2025-07-29,Leave
300,1525,2025-08-07,Leave
301,1951,2025-08-16,Present
302,1784,2025-07-29,Leave
303,1905,2025-07-27,Leave
304,1911,2025-08-24,Present
305,1905,2025-08-06,Leave
306,1796,2025-08-21,Absent
307,1137,2025-08-01,Absent
308,1578,2025-07-26,Absent
309,1217,2025-08-12,Leave
310,1964,2025-09-16,Present
311,1159,2025-09-08,Absent
312,1791,2025-08-26,Leave
313,1230,2025-09-09,Leave
314,1295,2025-07-28,Present
315,1632,2025-08-31,Leave
316,1946,2025-09-23,Leave
317,1881,2025-09-15,Absent
318,1822,2025-07-27,Absent
319,1982,2025-08-27,Leave
320,1094,2025-09-14,Leave
321,1356,2025-08-15,Present
322,1462,2025-08-28,Absent
323,1195,2025-09-06,Leave
324,1263,2025-08-01,Present
325,1921,2025-08-01,Leave
326,1143,2025-07-30,Present
327,1277,2025-08-21,Absent
328,1345,2025-08-12,Leave
329,1426,2025-08-11,Absent
330,1787,2025-08-19,Leave
331,1968,2025-09-11,Present
332,1133,2025-09-06,Absent
333,1514,2025-08-07,Leave
334,1931,2025-09-05,Absent
335,1491,2025-08-23,Absent
336,1622,2025-08-23,Present
337,1406,2025-09-23,Present
338,1898,2025-09-02,Absent
339,1221,2025-07-25,Leave
340,1416,2025-08-14,Present
341,1929,2025-07-30,Absent
342,1537,2025-09-04,Present
343,1516,2025-08-13,Leave
344,1595,2025-08-16,Present
345,1905,2025-08-05,Leave
346,1430,2025-08-05,Present
347,1024,2025-08-19,Leave
348,1221,2025-07-29,Leave
349,1724,2025-09-11,Present
350,1988,2025-08-01,Absent
351,1992,2025-07-29,Present
352,1269,2025-07-29,Present
353,1030,2025-08-06,Absent
354,1166,2025-08-15,Absent
355,1823,2025-08-20,Present
356,1405,2025-09-03,Leave
357,1263,2025-08-09,Absent
358,1992,2025-09-05,Leave
359,1388,2025-07-31,Present
360,1437,2025-09-04,Leave
361,1890,2025-07-31,Present
362,1690,2025-08-29,Leave
363,1378,2025-09-02,Present
364,1558,2025-08-07,Absent
365,1162,2025-09-04,Leave
366,1705,2025-09-18,Present
367,1492,2025-09-22,Present
368,1176,2025-08-28,Leave
369,1389,2025-09-12,Present
370,1703,2025-08-16,Absent
371,1506,2025-09-17,Leave
372,1003,2025-08-14,Leave
373,1924,2025-08-30,Leave
374,1756,2025-08-31,Leave
375,1566,2025-08-13,Leave
376,1347,2025-08-11,Present
377,1163,2025-08-16,Leave
378,1491,2025-07-26,Leave
379,1918,2025-08-23,Absent
380,1598,2025-08-22,Present
381,1032,2025-09-14,Absent
382,1912,2025-09-13,Leave
383,1654,2025-09-08,Present
384,1573,2025-09-05,Absent
385,1846,2025-08-11,Present
386,1960,2025-07-25,Present
387,1009,2025-08-08,Absent
388,1914,2025-08-27,Leave
389,1380,2025-08-22,Absent
390,1771,2025-07-27,Leave
391,1010,2025-08-22,Leave
392,1338,2025-08-18,Absent
393,1434,2025-09-20,Leave
394,1811,2025-08-12,Absent
395,1718,2025-08-16,Absent
396,1632,2025-07-27,Present
397,1649,2025-08-20,Leave
398,1697,2025-08-14,Leave
399,1017,2025-09-20,Absent
400,1609,2025-09-11,Leave
401,1027,2025-07-29,Leave
402,1952,2025-09-16,Leave
403,1042,2025-09-21,Leave
404,1621,2025-07-27,Leave
405,1025,2025-08-04,Present
406,1184,2025-08-21,Absent
407,1394,2025-08-06,Absent
408,1277,2025-08-23,Absent
409,1313,2025-09-01,Present
410,1873,2025-08-01,Absent
411,1401,2025-08-09,Leave
412,1392,2025-07-31,Present
413,1116,2025-09-03,Absent
414,1362,2025-09-06,Present
415,1623,2025-08-05,Present
416,1087,2025-08-27,Present
417,1154,2025-07-31,Leave
418,1548,2025-07-27,Absent
419,1910,2025-09-05,Leave
420,1860,2025-09-08,Present
421,1048,2025-08-14,Absent
422,1746,2025-07-28,Absent
423,1961,2025-09-11,Leave
424,1961,2025-09-11,Leave
425,1738,2025-08-27,Absent
426,1446,2025-08-26,Present
427,1981,2025-09-14,Leave
428,1392,2025-07-31,Present
429,1880,2025-08-04,Present
430,1202,2025-08-30,Absent
431,1328,2025-08-18,Leave
432,1967,2025-09-08,Leave
433,1739,2025-08-10,Leave
434,1545,2025-08-11,Present
435,1271,2025-08-23,Leave
436,1669,2025-08-26,Present
437,1121,2025-09-15,Leave
438,1598,2025-08-31,Absent
439,1509,2025-08-07,Present
440,1429,2025-07-28,Present
441,1296,2025-08-01,Leave
442,1789,2025-09-08,Absent
443,1472,2025-09-04,Leave
444,1345,2025-08-06,Present
445,1647,2025-07-29,Present
446,1052,2025-07-29,Absent
447,1901,2025-09-07,Present
448,1474,2025-09-11,Present
449,1747,2025-09-01,Present
450,1470,2025-09-15,Absent
451,1148,2025-09-18,Leave
452,1454,2025-08-08,Leave
453,1427,2025-08-14,Present
454,1450,2025-08-23,Present
455,1988,2025-09-14,Leave
456,1490,2025-08-07,Absent
457,1538,2025-09-04,Leave
458,1192,2025-07-25,Leave
459,1163,2025-07-31,Absent
460,1491,2025-09-15,Absent
461,1607,2025-08-03,Leave
462,1396,2025-09-02,Absent
463,1764,2025-08-05,Leave
464,1950,2025-08-08,Present
465,1663,2025-07-27,Absent
466,1286,2025-08-31,Leave
467,1760,2025-07-25,Absent
468,1607,2025-07-28,Absent
469,1831,2025-09-05,Present
470,1369,2025-08-05,Absent
471,1515,2025-09-23,Present
472,1220,2025-08-30,Present
473,1293,2025-08-31,Absent
474,1723,2025-08-29,Absent
475,1420,2025-08-20,Absent
476,1004,2025-07-31,Absent
477,1819,2025-08-12,Present
478,1844,2025-08-17,Present
479,1078,2025-08-29,Absent
480,1449,2025-09-10,Absent
481,1045,2025-08-01,Leave
482,1935,2025-09-03,Absent
483,1447,2025-08-08,Present
484,1541,2025-08-02,Absent
485,1961,2025-07-28,Absent
486,1403,2025-08-24,Leave
487,1100,2025-09-05,Absent
488,1662,2025-09-16,Present
489,1994,2025-09-23,Present
490,1724,2025-08-17,Absent
491,1390,2025-08-08,Present
492,1372,2025-08-16,Present
493,1344,2025-08-29,Present
494,1311,2025-09-03,Absent
495,1872,2025-07-27,Leave
496,1196,2025-09-19,Absent
497,1747,2025-09-16,Absent
498,1730,2025-08-27,Absent
499,1691,2025-09-14,Present
500,1514,2025-08-03,Present
501,1493,2025-08-24,Absent
502,1688,2025-08-13,Present
503,1698,2025-08-29,Absent
504,1505,2025-09-12,Present
505,1680,2025-08-11,Leave
506,1220,2025-09-21,Present
507,1870,2025-08-13,Leave
508,1984,2025-07-27,Absent
509,1136,2025-08-11,Leave
510,1626,2025-09-04,Leave
511,1112,2025-09-11,Absent
512,1097,2025-08-08,Present
513,1356,2025-09-10,Leave
514,1871,2025-09-16,Present
515,1245,2025-09-06,Absent
516,1820,2025-09-13,Present
517,1358,2025-08-01,Present
518,1771,2025-08-19,Absent
519,1676,2025-08-17,Leave
520,1166,2025-08-22,Present
521,1057,2025-08-12,Present
522,1904,2025-08-30,Absent
523,1185,2025-08-23,Leave
524,1011,2025-09-08,Absent
525,1473,2025-08-19,Present
526,1203,2025-08-21,Leave
527,1667,2025-08-25,Present
528,1738,2025-07-26,Leave
529,1269,2025-08-20,Leave
530,1592,2025-09-01,Leave
531,1164,2025-09-02,Present
532,1785,2025-08-08,Leave
533,1328,2025-09-09,Leave
534,1633,2025-09-01,Leave
535,1845,2025-08-20,Leave
536,1464,2025-07-31,Absent
537,1979,2025-08-19,Present
538,1643,2025-07-29,Absent
539,1762,2025-08-01,Leave
540,1308,2025-08-29,Present
541,1127,2025-08-18,Leave
542,1030,2025-08-26,Absent
543,1916,2025-08-14,Present
544,1104,2025-09-07,Leave
545,1503,2025-09-23,Absent
546,1247,2025-08-12,Absent
547,1948,2025-08-13,Leave
548,1781,2025-09-09,Present
549,1709,2025-08-29,Absent
550,1744,2025-07-25,Leave
551,1638,2025-07-29,Absent
552,1477,2025-08-02,Absent
553,1871,2025-09-08,Present
554,1883,2025-09-01,Present
555,1277,2025-08-08,Leave
556,1011,2025-08-10,Present
557,1731,2025-08-25,Leave
558,1309,2025-09-03,Present
559,1573,2025-08-06,Leave
560,1054,2025-09-20,Leave
561,1152,2025-09-06,Present
562,1561,2025-08-11,Leave
563,1354,2025-08-17,Present
564,1913,2025-09-09,Leave
565,1986,2025-09-02,Leave
566,1052,2025-08-17,Leave
567,1244,2025-08-01,Present
568,1981,2025-09-02,Present
569,1127,2025-08-10,Leave
570,1471,2025-09-13,Absent
571,1087,2025-09-06,Absent
572,1204,2025-07-29,Leave
573,1687,2025-08-17,Present
574,1389,2025-09-22,Leave
575,1456,2025-07-26,Leave
576,1012,2025-07-25,Leave
577,1601,2025-08-12,Absent
578,1178,2025-09-04,Leave
579,1539,2025-09-14,Present
580,1449,2025-09-13,Absent
581,1184,2025-09-12,Present
582,1633,2025-09-08,Leave
583,1128,2025-07-30,Leave
584,1459,2025-09-16,Present
585,1340,2025-08-09,Absent
586,1964,2025-08-12,Leave
587,1141,2025-09-16,Leave
588,1837,2025-08-23,Absent
589,1617,2025-09-10,Present
590,1340,2025-09-04,Leave
591,1557,2025-09-07,Absent
592,1137,2025-07-29,Present
593,1511,2025-09-09,Absent
594,1887,2025-08-01,Leave
595,1711,2025-09-18,Leave
596,1853,2025-08-21,Leave
597,1474,2025-09-18,Present
598,1125,2025-08-18,Leave
599,1289,2025-09-16,Absent
600,1720,2025-07-31,Present
601,1162,2025-09-18,Leave
602,1680,2025-08-20,Present
603,1904,2025-09-19,Present
604,1630,2025-08-04,Present
605,1450,2025-08-27,Leave
606,1579,2025-08-08,Leave
607,1133,2025-08-07,Absent
608,1373,2025-09-04,Leave
609,1485,2025-07-31,Absent
610,1286,2025-08-18,Absent
611,1739,2025-08-04,Leave
612,1308,2025-08-06,Leave
613,1971,2025-08-18,Absent
614,1440,2025-08-02,Present
615,1384,2025-08-15,Present
616,1235,2025-09-02,Present
617,1552,2025-08-01,Present
618,1618,2025-08-16,Present
619,1741,2025-08-30,Leave
620,1531,2025-08-18,Absent
621,1408,2025-08-30,Present
622,1437,2025-08-22,Leave
623,1796,2025-08-14,Leave
624,1880,2025-09-14,Present
625,1714,2025-09-23,Absent
626,1852,2025-08-24,Leave
627,1969,2025-08-20,Leave
628,1839,2025-08-06,Absent
629,1016,2025-08-15,Present
630,1389,2025-07-28,Absent
631,1116,2025-08-20,Absent
632,1150,2025-09-19,Leave
633,1431,2025-07-26,Absent
634,1563,2025-08-02,Absent
635,1083,2025-09-03,Present
636,1350,2025-09-16,Absent
637,1931,2025-08-19,Absent
638,1611,2025-09-06,Leave
639,1278,2025-08-03,Absent
640,1085,2025-07-25,Absent
641,1741,2025-08-10,Present
642,1446,2025-09-23,Absent
643,1660,2025-09-02,Present
644,1094,2025-07-28,Leave
645,1814,2025-09-23,Present
646,1030,2025-07-30,Absent
647,1118,2025-08-11,Present
648,1569,2025-08-22,Leave
649,1129,2025-09-23,Absent
650,1901,2025-08-14,Absent
651,1728,2025-08-23,Leave
652,1635,2025-08-20,Present
653,1143,2025-09-06,Leave
654,1237,2025-08-15,Leave
655,1398,2025-09-02,Leave
656,1450,2025-07-28,Leave
657,1236,2025-08-10,Present
658,1201,2025-08-20,Leave
659,1288,2025-08-21,Leave
660,1275,2025-08-24,Absent
661,1900,2025-09-19,Leave
662,1611,2025-07-30,Absent
663,1415,2025-08-10,Leave
664,1293,2025-09-21,Absent
665,1725,2025-08-04,Leave
666,1207,2025-09-01,Absent
667,1011,2025-08-02,Absent
668,1120,2025-09-21,Absent
669,1550,2025-09-16,Leave
670,1433,2025-09-16,Absent
671,1561,2025-08-26,Present
672,1022,2025-08-22,Leave
673,1566,2025-09-13,Leave
674,1680,2025-08-22,Present
675,1917,2025-08-18,Present
676,1143,2025-09-08,Leave
677,1991,2025-09-14,Absent
678,1089,2025-08-23,Absent
679,1699,2025-08-18,Present
680,1200,2025-08-26,Leave
681,1735,2025-08-09,Present
682,1172,2025-07-30,Leave
683,1540,2025-09-07,Absent
684,1962,2025-07-27,Absent
685,1274,2025-08-25,Leave
686,1929,2025-09-23,Leave
687,1395,2025-08-15,Leave
688,1345,2025-08-16,Leave
689,1907,2025-09-05,Present
690,1544,2025-09-09,Absent
691,1310,2025-09-15,Present
692,1377,2025-08-08,Leave
693,1359,2025-09-20,Present
694,1080,2025-08-11,Present
695,1062,2025-09-10,Present
696,1533,2025-07-28,Present
697,1377,2025-09-10,Present
698,1214,2025-08-26,Present
699,1585,2025-09-10,Leave
700,1550,2025-08-07,Absent
701,1826,2025-09-18,Leave
702,1397,2025-07-27,Leave
703,1065,2025-07-25,Present
704,1675,2025-09-01,Absent
705,1214,2025-09-04,Absent
706,1774,2025-08-04,Present
707,1165,2025-09-20,Present
708,1999,2025-08-02,Leave
709,1405,2025-08-30,Leave
710,1106,2025-08-28,Present
711,1131,2025-08-19,Absent
712,1601,2025-08-15,Present
713,1979,2025-09-07,Absent
714,1679,2025-09-04,Leave
715,1509,2025-08-26,Leave
716,1749,2025-08-15,Absent
717,1718,2025-09-14,Leave
718,1457,2025-08-26,Absent
719,1121,2025-08-09,Leave
720,1249,2025-09-06,Absent
721,1196,2025-09-17,Leave
722,1716,2025-09-19,Leave
723,1269,2025-09-06,Leave
724,1911,2025-08-05,Leave
725,1508,2025-09-19,Absent
726,1713,2025-07-30,Present
727,1983,2025-08-04,Present
728,1422,2025-08-23,Present
729,1935,2025-08-23,Present
730,1796,2025-08-08,Present
731,1993,2025-08-15,Leave
732,1128,2025-08-12,Present
733,1362,2025-08-11,Absent
734,1427,2025-09-08,Present
735,1326,2025-09-13,Present
736,1899,2025-08-17,Leave
737,1354,2025-09-16,Absent
738,1322,2025-09-20,Absent
739,1752,2025-08-15,Absent
740,1492,2025-08-23,Leave
741,1335,2025-09-16,Leave
742,1578,2025-09-07,Present
743,1611,2025-09-22,Leave
744,1942,2025-08-03,Present
745,1603,2025-09-12,Leave
746,1860,2025-08-12,Present
747,1676,2025-09-03,Present
748,1052,2025-08-15,Leave
749,1453,2025-09-15,Present
750,1551,2025-08-14,Leave
751,1641,2025-08-04,Absent
752,1638,2025-09-20,Absent
753,1042,2025-08-07,Leave
754,1704,2025-07-31,Leave
755,1770,2025-09-21,Leave
756,1668,2025-09-23,Present
757,1919,2025-08-10,Leave
758,1784,2025-08-08,Leave
759,1023,2025-08-04,Absent
760,1954,2025-09-03,Absent
761,1221,2025-07-29,Leave
762,1560,2025-09-09,Present
763,1279,2025-07-26,Leave
764,1491,2025-08-02,Absent
765,1990,2025-08-28,Present
766,1566,2025-09-09,Leave
767,1228,2025-08-03,Present
768,1632,2025-08-25,Leave
769,1409,2025-08-16,Absent
770,1117,2025-09-19,Leave
771,1227,2025-08-25,Absent
772,1048,2025-08-19,Absent
773,1365,2025-09-12,Present
774,1983,2025-08-18,Absent
775,1610,2025-09-14,Present
776,1949,2025-09-11,Leave
777,1899,2025-09-18,Present
778,1749,2025-07-26,Leave
779,1653,2025-08-29,Leave
780,1401,2025-09-10,Leave
781,1085,2025-08-09,Absent
782,1535,2025-09-03,Leave
783,1573,2025-08-26,Leave
784,1239,2025-08-28,Leave
785,1402,2025-08-01,Present
786,1762,2025-09-17,Leave
787,1017,2025-08-18,Leave
788,1750,2025-09-18,Present
789,1502,2025-09-23,Absent
790,1477,2025-09-12,Absent
791,1001,2025-09-21,Leave
792,1114,2025-09-01,Absent
793,1894,2025-09-16,Present
794,1636,2025-09-18,Present
795,1108,2025-07-31,Present
796,1149,2025-08-07,Present
797,1282,2025-08-02,Leave
798,1930,2025-09-10,Leave
799,1692,2025-09-11,Present
800,1894,2025-09-11,Present
801,1214,2025-08-13,Present
802,1062,2025-09-17,Present
803,1109,2025-08-10,Leave
804,1672,2025-08-06,Absent
805,1960,2025-08-05,Present
806,1530,2025-08-21,Present
807,1961,2025-08-06,Leave
808,1180,2025-09-13,Present
809,1296,2025-09-02,Absent
810,1793,2025-09-19,Leave
811,1272,2025-07-28,Absent
812,1697,2025-09-03,Leave
813,1554,2025-08-12,Leave
814,1935,2025-09-08,Present
815,1161,2025-09-08,Absent
816,1163,2025-09-22,Absent
817,1887,2025-08-31,Leave
818,1150,2025-08-29,Absent
819,1835,2025-07-28,Present
820,1430,2025-09-16,Present
821,1449,2025-08-06,Absent
822,1539,2025-07-26,Present
823,1789,2025-09-21,Present
824,1198,2025-08-14,Leave
825,1552,2025-09-12,Leave
826,1696,2025-09-22,Leave
827,1739,2025-08-13,Present
828,1327,2025-08-03,Present
829,1248,2025-09-18,Leave
830,1989,2025-09-18,Present
831,1529,2025-09-15,Absent
832,1127,2025-07-28,Absent
833,1847,2025-08-28,Leave
834,1404,2025-09-18,Leave
835,1285,2025-09-04,Present
836,1062,2025-08-06,Present
837,1517,2025-08-07,Leave
838,1902,2025-08-11,Absent
839,1122,2025-09-10,Absent
840,1785,2025-09-22,Leave
841,1547,2025-08-02,Leave
842,1229,2025-08-15,Leave
843,1760,2025-07-30,Present
844,1423,2025-08-12,Absent
845,1858,2025-07-30,Absent
846,1714,2025-08-08,Leave
847,1033,2025-08-04,Leave
848,1543,2025-08-05,Absent
849,1154,2025-09-11,Leave
850,1137,2025-09-05,Present
851,1373,2025-08-08,Leave
852,1798,2025-09-09,Leave
853,1312,2025-07-25,Present
854,1688,2025-09-18,Leave
855,1578,2025-09-05,Leave
856,1111,2025-08-06,Leave
857,1456,2025-09-19,Leave
858,1755,2025-08-31,Leave
859,1805,2025-08-03,Absent
860,1686,2025-09-07,Present
861,1229,2025-09-02,Present
862,1961,2025-09-17,Leave
863,1700,2025-08-22,Leave
864,1406,2025-09-03,Present
865,1233,2025-08-29,Absent
866,1215,2025-09-23,Present
867,1807,2025-08-09,Present
868,1901,2025-08-17,Present
869,1784,2025-09-09,Leave
870,1351,2025-07-31,Present
871,1813,2025-08-24,Absent
872,1816,2025-08-07,Absent
873,1059,2025-09-19,Leave
874,1745,2025-07-31,Leave
875,1016,2025-08-19,Present
876,1286,2025-08-26,Present
877,1101,2025-09-14,Present
878,1277,2025-08-04,Present
879,1916,2025-09-10,Present
880,1544,2025-09-10,Present
881,1043,2025-09-20,Leave
882,1798,2025-08-26,Leave
883,1260,2025-08-06,Present
884,1479,2025-08-26,Leave
885,1484,2025-08-12,Leave
886,1851,2025-09-05,Present
887,1100,2025-09-03,Present
888,1370,2025-09-22,Absent
889,1259,2025-07-29,Present
890,1254,2025-09-20,Present
